process,n,bt,tat,wt,tq
1,1044,488.319000,2384.765000,1896.446000,2.000000
2,1044,19261.049000,53667.448000,34406.399000,2.000000
3,1044,15034.740000,48456.600000,33421.860000,2.000000
1,8353,527.003000,2607.382000,2080.379000,2.000000
2,8353,36865.450000,62868.778000,26003.328000,2.000000
3,8353,3175.968000,10165.703000,6989.735000,2.000000
1,2868,484.094000,2631.409000,2147.315000,2.000000
2,2868,12627.917000,26017.265000,13389.348000,2.000000
3,2868,3058.700000,10978.387000,7919.687000,2.000000
1,2545,537.677000,2732.168000,2194.491000,2.000000
2,2545,12939.465000,23691.780000,10752.315000,2.000000
3,2545,1386.812000,5340.642000,3953.830000,2.000000
1,1556,562.567000,2937.871000,2375.304000,2.000000
2,1556,4858.060000,14004.530000,9146.470000,2.000000
3,1556,3163.924000,11425.761000,8261.837000,2.000000
1,7592,485.196000,2629.337000,2144.141000,2.000000
2,7592,31840.883000,51989.437000,20148.554000,2.000000
3,7592,1249.593000,5049.207000,3799.614000,2.000000
1,1707,512.488000,2755.108000,2242.620000,2.000000
2,1707,5448.672000,13345.019000,7896.347000,2.000000
3,1707,2112.899000,8001.643000,5888.744000,2.000000
1,4604,438.330000,2362.896000,1924.566000,2.000000
2,4604,20661.344000,37931.545000,17270.201000,2.000000
3,4604,2895.364000,10492.451000,7597.087000,2.000000
1,4788,553.482000,2668.166000,2114.684000,2.000000
2,4788,18539.234000,34466.935000,15927.701000,2.000000
3,4788,2933.878000,10406.647000,7472.769000,2.000000
1,1840,578.012000,2593.320000,2015.308000,2.000000
2,1840,7407.363000,14933.242000,7525.879000,2.000000
3,1840,1302.716000,5322.946000,4020.230000,2.000000
1,6071,1260.841000,4656.018000,3395.177000,5.000000
2,6071,52378.274000,69540.600000,17162.326000,5.000000
3,6071,2836.939000,8874.651000,6037.712000,5.000000
1,5687,1144.659000,4573.587000,3428.928000,5.000000
2,5687,54794.458000,73673.103000,18878.645000,5.000000
3,5687,2803.068000,8139.092000,5336.024000,5.000000
1,9030,1257.305000,4735.046000,3477.741000,5.000000
2,9030,85853.344000,114314.862000,28461.518000,5.000000
3,9030,7111.084000,18979.475000,11868.391000,5.000000
1,7446,1212.669000,4607.960000,3395.291000,5.000000
2,7446,73389.614000,96750.402000,23360.788000,5.000000
3,7446,3834.350000,11488.080000,7653.730000,5.000000
1,4575,1171.999000,4774.357000,3602.358000,5.000000
2,4575,46232.296000,60153.056000,13920.760000,5.000000
3,4575,1941.041000,6343.049000,4402.008000,5.000000
1,6269,1189.231000,4714.518000,3525.287000,5.000000
2,6269,59524.838000,79363.983000,19839.145000,5.000000
3,6269,2725.541000,8911.180000,6185.639000,5.000000
1,4369,1294.023000,4708.316000,3414.293000,5.000000
2,4369,45716.219000,61700.818000,15984.599000,5.000000
3,4369,2750.777000,7970.789000,5220.012000,5.000000
1,7577,1202.869000,4755.698000,3552.829000,5.000000
2,7577,70480.843000,98898.339000,28417.496000,5.000000
3,7577,7228.217000,19538.659000,12310.442000,5.000000
1,3358,1194.077000,4670.508000,3476.431000,5.000000
2,3358,30668.608000,41873.775000,11205.167000,5.000000
3,3358,2442.459000,7219.352000,4776.893000,5.000000
1,649,1141.542000,4538.070000,3396.528000,5.000000
2,649,4576.305000,9628.102000,5051.797000,5.000000
3,649,1905.117000,5857.190000,3952.073000,5.000000
1,6557,1810.443000,6578.429000,4767.986000,8.000000
2,6557,80734.595000,106974.584000,26239.989000,8.000000
3,6557,9262.304000,24252.401000,14990.097000,8.000000
1,3805,1822.669000,6710.972000,4888.303000,8.000000
2,3805,44448.873000,66251.433000,21802.560000,8.000000
3,3805,10754.948000,27262.055000,16507.107000,8.000000
1,9682,1798.783000,6524.754000,4725.971000,8.000000
2,9682,146698.926000,182104.428000,35405.502000,8.000000
3,9682,8122.945000,21563.732000,13440.787000,8.000000
1,5519,1737.646000,6093.875000,4356.229000,8.000000
2,5519,93142.352000,111769.776000,18627.424000,8.000000
3,5519,1899.851000,6864.392000,4964.541000,8.000000
1,805,1827.198000,6541.515000,4714.317000,8.000000
2,805,10721.851000,27136.055000,16414.204000,8.000000
3,805,11161.779000,27070.960000,15909.181000,8.000000
1,505,1781.482000,6562.496000,4781.014000,8.000000
2,505,12096.122000,19960.807000,7864.685000,8.000000
3,505,2805.166000,9231.594000,6426.428000,8.000000
1,4490,1810.878000,6568.380000,4757.502000,8.000000
2,4490,61832.702000,78877.457000,17044.755000,8.000000
3,4490,4751.943000,13460.127000,8708.184000,8.000000
1,5189,1862.653000,6797.009000,4934.356000,8.000000
2,5189,80171.985000,106697.909000,26525.924000,8.000000
3,5189,10665.843000,27397.723000,16731.880000,8.000000
1,1835,1885.551000,6817.200000,4931.649000,8.000000
2,1835,28863.420000,39828.623000,10965.203000,8.000000
3,1835,3883.804000,10945.688000,7061.884000,8.000000
1,7968,1793.789000,6627.031000,4833.242000,8.000000
2,7968,114676.773000,148189.025000,33512.252000,8.000000
3,7968,10750.117000,27032.808000,16282.691000,8.000000
